ID	Disease Name	MeSH Scope Note
D000006	Abdomen, Acute	A clinical syndrome with acute abdominal pain that is severe, localized, and rapid in onset. Acute abdomen may be caused by a variety of disorders, injuries, or diseases.
D000007	Abdominal Injuries	General or unspecified injuries involving organs in the abdominal cavity.
D000008	Abdominal Neoplasms	New abnormal growth of tissue in the ABDOMEN.
D000012	Abetalipoproteinemia	An autosomal recessive disorder of lipid metabolism. It is caused by mutation of the microsomal triglyceride transfer protein that catalyzes the transport of lipids (TRIGLYCERIDES; CHOLESTEROL ESTERS; PHOSPHOLIPIDS) and is required in the secretion of BETA-LIPOPROTEINS (low density lipoproteins or LDL). Features include defective intestinal lipid absorption, very low serum cholesterol level, and near absent LDL.
D000013	Congenital Abnormalities	Malformations of organs or body parts during development in utero.
D000014	Abnormalities, Drug-Induced	Congenital abnormalities caused by medicinal substances or drugs of abuse given to or taken by the mother, or to which she is inadvertently exposed during the manufacture of such substances. The concept excludes abnormalities resulting from exposure to non-medicinal chemicals in the environment.
D000015	Abnormalities, Multiple	Congenital abnormalities that affect more than one organ or body structure.
D000016	Abnormalities, Radiation-Induced	Congenital changes in the morphology of organs produced by exposure to ionizing or non-ionizing radiation.
D000022	Abortion, Spontaneous	Expulsion of the product of FERTILIZATION before completing the term of GESTATION and without deliberate interference.
D000026	Abortion, Habitual	Three or more consecutive spontaneous abortions.
D000027	Abortion, Incomplete	Premature loss of PREGNANCY in which not all the products of CONCEPTION have been expelled.
D000030	Abortion, Missed	The retention in the UTERUS of a dead FETUS two months or more after its DEATH.
D000031	Abortion, Septic	Any type of abortion, induced or spontaneous, that is associated with infection of the UTERUS and its appendages. It is characterized by FEVER, uterine tenderness, and foul discharge.
D000033	Abortion, Threatened	UTERINE BLEEDING from a GESTATION of less than 20 weeks without any CERVICAL DILATATION. It is characterized by vaginal bleeding, lower back discomfort, or midline pelvic cramping and a risk factor for MISCARRIAGE.
D000034	Abortion, Veterinary	Premature expulsion of the FETUS in animals.
D000037	Abruptio Placentae	Premature separation of the normally implanted PLACENTA from the UTERUS. Signs of varying degree of severity include UTERINE BLEEDING, uterine MUSCLE HYPERTONIA, and FETAL DISTRESS or FETAL DEATH.
D000038	Abscess	Accumulation of purulent material in tissues, organs, or circumscribed spaces, usually associated with signs of infection.
D000039	Peritonsillar Abscess	An accumulation of purulent material in the area between the PALATINE TONSIL and its capsule.
D000051	Acantholysis	Separation of the prickle cells of the stratum spinosum of the epidermis, resulting in atrophy of the prickle cell layer. It is seen in diseases such as pemphigus vulgaris (see PEMPHIGUS) and DARIER DISEASE.
D000052	Acanthosis Nigricans	A circumscribed melanosis consisting of a brown-pigmented, velvety verrucosity or fine papillomatosis appearing in the axillae and other body folds. It occurs in association with endocrine disorders, underlying malignancy, administration of certain drugs, or as in inherited disorder.
D000067011	Severe Acute Malnutrition	Acute form of MALNUTRITION which usually affects children, characterized by a very low weight for height (below -3z scores of the median World Health Organization standards), visible severe wasting, or occurrence of nutritional EDEMA.  It can be a direct or indirect cause of fatality in children suffering from DIARRHEA and PNEUMONIA. Do not confuse with starvation, a condition in which the body is not getting enough food, usually for extended periods of time.
D000067208	Shellfish Hypersensitivity	Allergic reaction to SHELLFISH or shellfish products.
D000067251	Symptom Flare Up	A transient exacerbation of symptoms of an existing disease or condition.
D000067329	Obesity, Metabolically Benign	A sub-PHENOTYPE of obese individuals who have a risk for CARDIOVASCULAR DISEASES between that of healthy individuals with normal weight and unhealthy individuals with obesity.
D000067390	Cold Injury	A physical injury caused by exposure of the body to extremely low ambient temperatures that may lead to loss of body parts, or in extreme cases, death. Examples of cold injury are FROSTBITE and CHILBLAINS.
D000067398	War-Related Injuries	WOUNDS and INJURIES and PSYCHOLOGICAL TRAUMA sustained during WAR.
D000067562	Late Onset Disorders	Pathological conditions (Disorder, SYNDROME, or DISEASE) whose SIGNS AND SYMPTOMS manifest late in the life of an individual.
D000068376	Compassion Fatigue	Emotional distress caused by repeated or prolonged expression of compassion or empathy. It may occur in individuals working in care giving professions.
D000069076	Fractures, Multiple	Injuries involving the breaking of either several bones or one bone in two or more places.
D000069279	Drug Resistant Epilepsy	Epileptic condition in which adequate trials of two tolerated and appropriately chosen and used ANTIEPILEPTIC DRUGS schedules to achieve sustained seizure freedom failed.
